layer	name	img_url	url	rate	rate1	rate2
4	赵立新 Lixin Zhao	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1515991360.72.webp	/people/1312817/	97	86	93
5	我不是潘金莲	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2378133884.webp	/movie/26630781/	78	73	66
6	林鹏 Peng Lin	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/prTYkFRVcFIcel_avatar_uploaded1430557117.54.webp	/people/1349188/	8	11	19
7	一路惊喜	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2223445941.webp	/movie/25880244/	24	27	25
8	苏芒 Mang Su	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p47239.webp	/people/1313284/	28	24	32
9	爱出色	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p766644636.webp	/movie/4711195/	8	15	8
10	王喜 Hei Wong	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p28702.webp	/people/1024897/	93	96	89
1	太阳花	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2377517051.webp	/movie/1768139/	12	16	13
2	张杨 Yang Zhang	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1356350729.21.webp	/people/1301697/	69	65	57
3	皮绳上的魂	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494811175.webp	/movie/26177735/	73	73	69
4	曲尼次仁 Choenyi Tsering	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1499769716.36.webp	/people/1376956/	81	92	76
5	撒娇女人最好命	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2213388572.webp	/movie/4881607/	60	68	63
6	张优优 Youyou Zhang	https://img3.doubanio.com/f/movie/8dd0c794499fe925ae2ae89ee30cd225750457b4/pics/movie/celebrity-default-medium.png	/people/1320017/	16	5	10
7	醉后一夜	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1557411020.webp	/movie/6722888/	90	85	86
8	朱雨辰 Yuchen Zhu	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p7913.webp	/people/1274391/	39	39	43
9	一百万	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2533238859.webp	/movie/1986030/	13	6	10
10	杨雪 Xue Yang	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p33795.webp	/people/1315835/	89	88	90
1	独自等待	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p486667524.webp	/movie/1308741/	74	95	77
2	龚蓓苾 Beibi Gong	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1088.webp	/people/1274298/	29	30	23
3	方便面时代	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510287756.webp	/movie/1770153/	7	3	20
4	王竞 Jing Wang	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1369623581.05.webp	/people/1274891/	91	85	96
5	一年到头	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1077092683.webp	/movie/2363843/	83	84	85
6	谢晓东 Xiaodong Xie	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1440061812.02.webp	/people/1322625/	62	64	68
7	我是植物人	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p629755844.webp	/movie/4861395/	39	31	37
8	周展 Zhan Zhou	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1490248553.13.webp	/people/1328698/	69	62	67
9	在世界中心呼唤爱	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2374756671.webp	/movie/26611083/	7	6	6
10	张慧雯 Huiwen Zhang	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1421862098.71.webp	/people/1339318/	31	32	27
1	乔迁之喜	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509148124.webp	/movie/1461440/	44	38	47
2	巩汉林 Han-Lin Gong	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p19890.webp	/people/1274636/	63	73	72
3	2002年中央电视台春节联欢晚会	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2263260802.webp	/movie/26593959/	80	82	80
4	谢东娜 Dongna Xie	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1470011316.75.webp	/people/1360537/	53	62	56
1	猛龙 猛龍	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1099162167.webp	/movie/1419985/	98	84	85
2	张宝雯 Baowen Zhang	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p54156.webp	/people/1322759/	75	64	67
3	天下第一镖局	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2526984156.webp	/movie/27107604/	60	52	71
4	陶盟喜 Mengxi Tao	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1512446496.61.webp	/people/1318540/	54	53	49
1	过年回家	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452555131.webp	/movie/1303509/	50	47	47
2	李芸 Yun Li	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p35688.webp	/people/1316258/	25	24	29
3	夜半歌声	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2213635260.webp	/movie/3197036/	15	5	6
4	李天济 Tianji Li	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p4855.webp	/people/1047154/	13	4	15
5	爱情啊，你姓什么？	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327266476.webp	/movie/1498649/	64	58	62
6	王伟平 Weiping Wang	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p56862.webp	/people/1318350/	35	33	37
7	小字辈	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535371129.webp	/movie/1511326/	32	34	28
8	王家乙 Jiayi Wang	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1538062870.87.webp	/people/1315903/	95	80	83
9	五朵金花	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529223569.webp	/movie/1451563/	56	65	52
10	莫梓江 Zhijiang Mo	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1492441719.87.webp	/people/1329619/	61	54	67
1	童梦奇缘	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p486824798.webp	/movie/1427834/	90	89	95
2	陈淑贤 Susan Chan	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1381220263.22.webp	/people/1280439/	43	41	39
3	失忆界女王	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p486551329.webp	/movie/1302769/	76	82	95
4	马楚成 Jingle Ma	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p17804.webp	/people/1280599/	59	54	50
5	九龙冰室	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509865666.webp	/movie/1307922/	92	84	80
6	莫文蔚 Karen Mok	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p27003.webp	/people/1018248/	24	28	25
7	大话西游之大圣娶亲 西遊記大結局之仙履奇緣	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.webp	/movie/1292213/	21	7	13
8	江约诚 Johnnie Kong Yeuk-Sing	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p57254.webp	/people/1320946/	96	92	87
9	港囧	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2266145079.webp	/movie/25710912/	96	83	80
10	葛民辉 Eric Kot	https://img3.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1488287356.16.webp	/people/1017040/	18	15	17
1	巨齿鲨 The Meg	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530572643.webp	/movie/26426194/	12	5	20
2	蔡书雅 Sophia Cai	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1498951887.78.webp	/people/1376312/	31	36	28
3	有一个地方只有我们知道	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2223068290.webp	/movie/25858759/	75	60	93
4	徐静蕾 Jinglei Xu	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p20738.webp	/people/1000571/	57	68	47
5	绑架者	https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2445601403.webp	/movie/26602933/	82	86	87
6	梁天 Tian Liang	https://img1.doubanio.com/view/celebrity/s_ratio_celebrity/public/p1399.webp	/people/1222588/	58	59	49
7	女人TAXI女人	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2227948677.webp	/movie/3901443/	44	37	42
