"filename", "language", "Python", "Markdown", "YAML", "pip requirements", "HTML", "CSS", "JavaScript", "SCSS", "Log", "XML", "comment", "blank", "total"
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_tables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 1, 1, 76
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\_treeview.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 0, 29
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\modules\animations-extended\_module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1190, 0, 0, 11, 284, 1485
"f:\code\Project\django-ecommerce-master\static_in_env\scss\free\modules\animations-extended\animations-extended.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 2, 8
"f:\code\Project\django-ecommerce-master\static_in_env\scss\mdb.lite.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 31, 6, 69
"f:\code\Project\django-ecommerce-master\static_in_env\scss\mdb.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 35, 6, 74
"f:\code\Project\django-ecommerce-master\static_in_env\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 5, 26
"f:\code\Project\django-ecommerce-master\templates\account\account_inactive.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 12
"f:\code\Project\django-ecommerce-master\templates\account\base.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\code\Project\django-ecommerce-master\templates\account\email.html", "HTML", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 18, 74
"f:\code\Project\django-ecommerce-master\templates\account\email_confirm.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 14, 32
"f:\code\Project\django-ecommerce-master\templates\account\login.html", "HTML", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 13, 56
"f:\code\Project\django-ecommerce-master\templates\account\logout.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"f:\code\Project\django-ecommerce-master\templates\account\password_change.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"f:\code\Project\django-ecommerce-master\templates\account\password_reset.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 8, 25
"f:\code\Project\django-ecommerce-master\templates\account\password_reset_done.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 17
"f:\code\Project\django-ecommerce-master\templates\account\password_reset_from_key.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"f:\code\Project\django-ecommerce-master\templates\account\password_reset_from_key_done.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"f:\code\Project\django-ecommerce-master\templates\account\password_set.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"f:\code\Project\django-ecommerce-master\templates\account\signup.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"f:\code\Project\django-ecommerce-master\templates\account\signup_closed.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 12
"f:\code\Project\django-ecommerce-master\templates\account\snippets\already_logged_in.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"f:\code\Project\django-ecommerce-master\templates\account\verification_sent.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"f:\code\Project\django-ecommerce-master\templates\account\verified_email_required.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 24
"f:\code\Project\django-ecommerce-master\templates\base.html", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 1, 13, 85
"f:\code\Project\django-ecommerce-master\templates\checkout.html", "HTML", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 36, 170
"f:\code\Project\django-ecommerce-master\templates\follow_list.html", "HTML", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 5, 59
"f:\code\Project\django-ecommerce-master\templates\footer.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 17, 6, 48
"f:\code\Project\django-ecommerce-master\templates\home.html", "HTML", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 16, 31, 169
"f:\code\Project\django-ecommerce-master\templates\movie_year_view_1.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 5, 28
"f:\code\Project\django-ecommerce-master\templates\navbar.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 5, 15, 88
"f:\code\Project\django-ecommerce-master\templates\openid\base.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\code\Project\django-ecommerce-master\templates\openid\login.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 8, 19
