1004508	184	1	7
1004511	417	2	5
1004565	13	2	3
1004566	42	1	5
1004568	6	1	5
1004571	43	2	4
1004573	13	1	4
1004576	13	2	8
1004577	37	1	7
1004578	64	1	5
1004580	6	1	2
1004583	8	1	5
1004584	103	2	4
1004586	61	1	6
1004588	6	2	5
1004589	6	1	9
1004591	14	1	4
1004593	49	1	5
1004596	13	1	3
1004598	5	1	7
1004609	37	2	5
1004615	37	1	5
1004616	8	2	4
1004617	37	1	4
1004619	354	2	4
1004621	8	1	4
1004623	8	1	4
1004627	18	1	3
1004631	59	1	5
1004634	6	2	3
1004638	8	1	4
1004643	209	1	4
1004644	3	2	5
1004650	6	2	7
1004653	28	2	6
1004660	16	1	3
1004664	1107	2	4
1004674	13	2	3
1004675	10	1	6
1004677	14	1	5
1004684	91	1	4
1004686	44	1	4
1004691	105	2	5
1004695	37	1	5
1004700	1	1	5
1004705	6	2	6
1004707	355	1	4
1004729	1188	2	4
1004742	54	1	7
1004751	196	1	2
1004763	122	1	5
1004765	13	1	7
1004773	364	2	5
1004785	8	1	6
1004795	34	1	3
1004805	3	1	4
1004859	57	1	3
1004860	835	2	4
1004861	15	2	3
1004886	13	1	6
1004888	8	1	5
1004891	3	1	4
1004895	8	1	5
1004899	3	1	6
1004913	6	1	6
1004916	311	1	6
1004938	164	2	5
1004946	58	1	6
1005037	144	1	8
1005054	753	2	5
1005071	141	1	3
1005082	37	1	8
1005104	502	2	5
1005159	266	2	4
1005164	559	2	5
1005196	243	1	5
1005208	389	2	5
1005210	14	1	5
1005215	162	2	7
1005219	5	1	7
1005223	28	2	2
1005234	53	1	6
1005269	942	1	5
1005296	37	1	4
1005297	364	2	5
1005299	3	1	4
1005361	1110	2	4
1005370	400	1	4
1005391	494	1	7
1005405	54	1	4
1005418	576	1	4
1005460	576	2	5
1005472	640	2	3
1005481	417	1	7
1005497	52	1	4
1005521	581	1	5
1005524	8	1	7
1005530	3	1	6
1005571	37	1	3
1005675	564	1	9
1005773	42	1	4
1005774	98	2	4
1005822	403	1	6
1005922	3	1	9
1005945	71	1	8
1005959	628	2	3
1006036	212	2	3
1006051	1016	2	5
1006260	340	2	4
1006262	628	2	4
1006330	340	1	6
1006357	684	2	8
1006392	309	2	3
1006697	71	2	5
1006955	3	2	4
1006956	108	1	5
1006958	52	1	4
1006964	57	1	5
1006970	8	1	4
1006974	26	1	6
1006975	5	2	5
1006977	13	1	6
1006980	52	1	5
1006981	58	1	7
1006985	23	1	8
1006990	1	1	5
1006991	76	1	7
1006992	6	1	8
1007000	55	1	7
1007007	27	2	4
1007009	6	1	7
1007010	34	2	5
1007012	23	1	7
1007013	55	1	6
1007014	14	2	7
1007015	59	1	5
1007017	6	1	4
1007018	266	1	6
1007020	1	2	7
1007022	5	1	6
1007028	1	1	5
1007030	8	1	8
1007032	426	1	7
1007036	6	1	5
1007044	37	2	8
1007046	8	1	8
1007058	13	2	8
1007064	262	1	7
1007068	64	1	7
1007074	37	1	8
1007078	56	1	7
1007082	54	1	6
1007083	8	2	7
1007087	6	1	4
1007090	82	2	4
1007091	6	1	7
1007103	1	1	6
1007123	1	1	4
1007134	71	2	8
1007138	66	1	7
1007143	9	1	8
1007145	492	1	7
1007192	924	2	5
1007197	6	1	5
1007201	820	2	4
1007205	981	1	5
1007210	3	1	7
1007211	108	2	9
1007224	443	1	9
1007227	243	1	8
1007231	779	1	7
1007481	653	1	7
1007512	310	2	3
1007746	18	1	4
1008065	6	2	3
1008067	649	1	3
1008069	1	1	4
1008070	655	1	5
1008079	348	1	6
1008148	3	1	7
1008183	3	2	8
1008191	348	1	6
1008209	3	2	8
1008309	615	1	6
1008326	666	1	7
1008548	259	1	7
1009174	410	1	7
1009215	260	1	6
1009234	6	2	3
1009236	37	2	4
1009238	27	1	7
1009239	6	1	5
1009240	6	1	4
1009242	6	1	5
1009256	37	2	4
1009257	9	1	4
1009260	14	1	6
1009261	162	2	4
1009265	8	1	5
1009267	1	2	4
1009271	186	2	3
1009272	27	1	5
1009274	37	2	4
1009278	8	1	3
1009282	8	1	4
1009283	41	2	4
1009286	67	2	5
1009292	8	2	5
1009294	21	2	3
1009295	3	2	3
1009301	34	1	5
1009303	69	2	4
1009305	8	1	4
1009308	11	1	4
1009310	43	1	4
1009313	49	1	5
1009314	127	1	4
1009317	64	2	5
1009318	6	1	3
1009320	6	2	4
1009322	8	2	5
1009324	9	2	3
1009332	383	2	3
1009334	43	2	4
1009341	544	2	8
1009348	8	1	3
1009349	43	2	5
1009364	558	2	6
1009365	27	1	5
1009369	8	1	3
1009374	8	1	4
1009378	8	1	4
1009392	22	2	5
1009393	8	1	5
1009398	1093	1	5
1009405	13	1	4
1009410	1	2	8
1009411	272	1	5
1009412	156	1	6
1009415	55	1	3
1009423	8	2	6
1009428	757	1	3
1009433	803	1	4
1009434	6	1	4
1009435	528	2	4
1009436	5	2	4
1009437	55	2	4
1009438	103	2	7
1009451	31	1	4
1009456	1	1	3
1009458	97	1	7
1009461	243	2	4
1009471	10	2	5
1009473	20	2	4
1009477	23	2	6
1009484	223	1	5
1009491	407	2	4
1009507	8	1	5
1009525	37	1	7
